source_system;client_id;snapshot_ts;invoice_internal_id;document_number;customer_id;invoice_date;due_date;document_type;document_status;payment_terms;currency;exchange_rate;subsidiary_id;amount_total;amount_paid;open_balance
netsuite;vonderk;8/6/2026 15:40;323745;MEX-9900021939;4043;8/6/2026;15/6/2026;Factura de venta;Abierta;PLAZO 7 DIAS;Peso Argentino;1;11;814,811.40;0;814,811.40
netsuite;vonderk;8/6/2026 15:40;323752;MEX-9900021941;3878;8/6/2026;15/6/2026;Factura de venta;Abierta;PLAZO 7 DIAS;Peso Argentino;1;11;419,428.80;0;419,428.80
netsuite;vonderk;8/6/2026 15:40;323893;MEX-9900021942;13571;8/6/2026;15/6/2026;Factura de venta;Abierta;PLAZO 7 DIAS;Peso Argentino;1;11;688,098.00;0;688,098.00
netsuite;vonderk;8/6/2026 15:40;323894;MEX-9900021943;3777;8/6/2026;15/6/2026;Factura de venta;Abierta;PLAZO 7 DIAS;Peso Argentino;1;11;1,919,067.80;0;1,919,067.80
netsuite;vonderk;8/6/2026 15:40;323895;MEX-9900021944;3720;8/6/2026;15/6/2026;Factura de venta;Abierta;PLAZO 7 DIAS;Peso Argentino;1;11;276,415.23;0;276,415.23
netsuite;vonderk;8/6/2026 15:40;323897;MEX-9900021945;4069;8/6/2026;15/6/2026;Factura de venta;Abierta;PLAZO 7 DIAS;Peso Argentino;1;11;534,944.00;0;534,944.00
netsuite;vonderk;8/6/2026 15:40;323900;MEX-9900021946;4002;8/6/2026;15/6/2026;Factura de venta;Abierta;PLAZO 7 DIAS;Peso Argentino;1;11;639,261.00;0;639,261.00
netsuite;vonderk;8/6/2026 15:40;323901;MEX-9900021947;3767;8/6/2026;15/6/2026;Factura de venta;Abierta;PLAZO 7 DIAS;Peso Argentino;1;11;5,817,340.80;0;5,817,340.80
netsuite;vonderk;8/6/2026 15:40;323902;MEX-9900021948;3740;8/6/2026;15/6/2026;Factura de venta;Abierta;PLAZO 7 DIAS;Peso Argentino;1;11;528,520.00;0;528,520.00
netsuite;vonderk;8/6/2026 15:40;323903;MEX-9900021949;3720;8/6/2026;15/6/2026;Factura de venta;Abierta;PLAZO 7 DIAS;Peso Argentino;1;11;101,178.00;0;101,178.00
netsuite;vonderk;8/6/2026 15:40;323904;MEX-9900021950;3778;8/6/2026;15/6/2026;Factura de venta;Abierta;PLAZO 7 DIAS;Peso Argentino;1;11;507,934.00;0;507,934.00
netsuite;vonderk;8/6/2026 15:40;323909;MEX-9900021951;3720;8/6/2026;15/6/2026;Factura de venta;Abierta;PLAZO 7 DIAS;Peso Argentino;1;11;462,966.00;0;462,966.00
netsuite;vonderk;8/6/2026 15:40;323910;MEX-9900021952;3924;8/6/2026;15/6/2026;Factura de venta;Abierta;PLAZO 7 DIAS;Peso Argentino;1;11;350,400.00;0;350,400.00
