source_system;client_id;snapshot_ts;po_internal_id;po_number;vendor_id;inbound_shipment_number;inbound_shipment_status;item_internal_id;quantity_inbound;expected_shipping_date;actual_shipping_date;expected_delivery_date;actual_delivery_date;available_for_sale_date;location_id
netsuite;vonderk;2026-06-08 15:41;324932;OC_ME-227;9866;INBSHIP218;Para enviar;10243;600;;;;;;
netsuite;vonderk;2026-06-08 15:41;324932;OC_ME-227;9866;INBSHIP218;Para enviar;9669;500;;;;;;
netsuite;vonderk;2026-06-08 15:41;324932;OC_ME-227;9866;INBSHIP218;Para enviar;9670;1100;;;;;;
netsuite;vonderk;2026-06-08 15:41;324456;OC_ME-226;9866;INBSHIP217;En tránsito;8736;400;10/6/2026;;15/6/2026;;20/6/2026;
netsuite;vonderk;2026-06-08 15:41;324290;OC_TDS-18;9866;INBSHIP216;Para enviar;11808;1700;;;;;;
netsuite;vonderk;2026-06-08 15:41;324290;OC_TDS-18;9866;INBSHIP216;Para enviar;11827;500;;;;;;
netsuite;vonderk;2026-06-08 15:41;324290;OC_TDS-18;9866;INBSHIP216;Para enviar;11753;3000;;;;;;
netsuite;vonderk;2026-06-08 15:41;324290;OC_TDS-18;9866;INBSHIP216;Para enviar;12563;1500;;;;;;
netsuite;vonderk;2026-06-08 15:41;324290;OC_TDS-18;9866;INBSHIP216;Para enviar;12562;1500;;;;;;
netsuite;vonderk;2026-06-08 15:41;324290;OC_TDS-18;9866;INBSHIP216;Para enviar;12565;1500;;;;;;
netsuite;vonderk;2026-06-08 15:41;324290;OC_TDS-18;9866;INBSHIP216;Para enviar;12564;1500;;;;;;
netsuite;vonderk;2026-06-08 15:41;324272;OC_ME-225;9866;INBSHIP215;Para enviar;10325;35;;;;;;
netsuite;vonderk;2026-06-08 15:41;324272;OC_ME-225;9866;INBSHIP215;Para enviar;10323;20;;;;;;
netsuite;vonderk;2026-06-08 15:41;324272;OC_ME-225;9866;INBSHIP215;Para enviar;10319;60;;;;;;
