source_system;client_id;snapshot_ts;item_internal_id;item_name;location;subsidiary;stock_status;quantity_on_hand;quantity_available;average_cost
netsuite;vonderk;2026-06-08 15:43;8388;CS- TED LR;Almacén General Mentrau;MENTRAU;Good;1;1;55012.78529
netsuite;vonderk;2026-06-08 15:43;8388;CS- TED LR;Almacen Mentrau Exento;MENTRAU;Good;7;7;55012.78529
netsuite;vonderk;2026-06-08 15:43;8388;CS- TED LR;Showroom Mentrau;MENTRAU;Buen estado Otros;9;9;55012.78529
netsuite;vonderk;2026-06-08 15:43;12131;CS-ACTUADOR PUSH-4CH;Almacén General Mentrau;MENTRAU;Good;5;5;40194.72153
netsuite;vonderk;2026-06-08 15:43;12131;CS-ACTUADOR PUSH-4CH;Almacén General Mentrau;MENTRAU;Good;35;35;40194.72153
netsuite;vonderk;2026-06-08 15:43;12131;CS-ACTUADOR PUSH-4CH;Almacen Mentrau Exento;MENTRAU;Good;15;15;40194.72153
netsuite;vonderk;2026-06-08 15:43;12131;CS-ACTUADOR PUSH-4CH;Almacen Mentrau Exento;MENTRAU;Buen estado PT;3;3;40194.72153
netsuite;vonderk;2026-06-08 15:43;12131;CS-ACTUADOR PUSH-4CH;Showroom Mentrau;MENTRAU;Buen estado PT;1;1;40194.72153
netsuite;vonderk;2026-06-08 15:43;7496;CS-ASD;Almacén General Mentrau;MENTRAU;Good;10;10;50237.14
netsuite;vonderk;2026-06-08 15:43;7496;CS-ASD;Almacén General Mentrau;MENTRAU;Good;1;1;50237.14
netsuite;vonderk;2026-06-08 15:43;7496;CS-ASD;Producción Mentrau;MENTRAU;En inspección;4;4;50237.14
netsuite;vonderk;2026-06-08 15:43;7496;CS-ASD;Producción Mentrau;MENTRAU;En inspección;1;1;50237.14
netsuite;vonderk;2026-06-08 15:43;7496;CS-ASD;Producción Mentrau;MENTRAU;En inspección;1;1;50237.14
netsuite;vonderk;2026-06-08 15:43;7496;CS-ASD;Producción Mentrau;MENTRAU;En inspección;6;6;50237.14
netsuite;vonderk;2026-06-08 15:43;7496;CS-ASD;Showroom Mentrau;MENTRAU;Buen estado Otros;3;3;50237.14
netsuite;vonderk;2026-06-08 15:43;7496;CS-ASD;Showroom Mentrau;MENTRAU;Buen estado Otros;7;7;50237.14
netsuite;vonderk;2026-06-08 15:43;7496;CS-ASD;Showroom Mentrau;MENTRAU;Buen estado Otros;14;14;50237.14
netsuite;vonderk;2026-06-08 15:43;7496;CS-ASD;Showroom Mentrau;MENTRAU;Buen estado Otros;7;7;50237.14
netsuite;vonderk;2026-06-08 15:43;7596;CS-ASD LR;Almacén General Mentrau;MENTRAU;Good;1;1;57921.9
netsuite;vonderk;2026-06-08 15:43;7596;CS-ASD LR;Almacén General Mentrau;MENTRAU;Good;24;24;57921.9
netsuite;vonderk;2026-06-08 15:43;7596;CS-ASD LR;Producción Mentrau;MENTRAU;En inspección;1;1;57921.9
netsuite;vonderk;2026-06-08 15:43;7596;CS-ASD LR;Almacén General Mentrau;MENTRAU;Dañado;1;1;57921.9
netsuite;vonderk;2026-06-08 15:43;7596;CS-ASD LR;Almacen Mentrau Exento;MENTRAU;Buen estado PT;2;2;57921.9
netsuite;vonderk;2026-06-08 15:43;7596;CS-ASD LR;Showroom Mentrau;MENTRAU;Buen estado Otros;13;13;57921.9
netsuite;vonderk;2026-06-08 15:43;12392;CS-ASD PRO;Almacen Mentrau Exento;MENTRAU;Good;1;1;52143.84
netsuite;vonderk;2026-06-08 15:43;12392;CS-ASD PRO;Almacén General Mentrau;MENTRAU;Good;45;45;52143.84
netsuite;vonderk;2026-06-08 15:43;12392;CS-ASD PRO;Almacen Mentrau Exento;MENTRAU;Buen estado PT;1;1;52143.84
netsuite;vonderk;2026-06-08 15:43;12392;CS-ASD PRO;Showroom Mentrau;MENTRAU;Buen estado PT;1;1;52143.84
netsuite;vonderk;2026-06-08 15:43;7696;CS-ASR;Almacén General Mentrau;MENTRAU;Good;18;18;53768.96
netsuite;vonderk;2026-06-08 15:43;7696;CS-ASR;Producción Mentrau;MENTRAU;En inspección;1;1;53768.96
netsuite;vonderk;2026-06-08 15:43;7696;CS-ASR;Producción Mentrau;MENTRAU;En inspección;1;1;53768.96
netsuite;vonderk;2026-06-08 15:43;7696;CS-ASR;Showroom Mentrau;MENTRAU;Buen estado Otros;3;3;53768.96
netsuite;vonderk;2026-06-08 15:43;8371;CS-CASAROLLO;Almacén General Mentrau;MENTRAU;Buen estado Otros;1;1;138155.17
netsuite;vonderk;2026-06-08 15:43;11091;CS-CASDMX;Almacén General Mentrau;MENTRAU;Good;2;2;109.61
netsuite;vonderk;2026-06-08 15:43;8372;CS-CEDRPLR;Almacén General Mentrau;MENTRAU;Good;7;7;171378.67
netsuite;vonderk;2026-06-08 15:43;8373;CS-CEFL;Almacén General Mentrau;MENTRAU;Good;12;12;138142.99
netsuite;vonderk;2026-06-08 15:43;8373;CS-CEFL;Almacén General Mentrau;MENTRAU;Good;1;1;138142.99
netsuite;vonderk;2026-06-08 15:43;8374;CS-CEFL HYT BASE;Almacén General Mentrau;MENTRAU;Good;1;1;6454.71
netsuite;vonderk;2026-06-08 15:43;8374;CS-CEFL HYT BASE;Almacén General Mentrau;MENTRAU;Good;294;294;6454.71
netsuite;vonderk;2026-06-08 15:43;8374;CS-CEFL HYT BASE;Almacen Mentrau Exento;MENTRAU;Buen estado PT;1;1;6454.71
