source_system;client_id;snapshot_ts;order_internal_id;document_number;transaction_date;expected_ship_date;customer_id;item_internal_id;location;subsidiary_id;quantity_ordered;quantity_committed;quantity_fulfilled;quantity_pending;line_net_amount;unit_price_net;estimated_unit_cost;estimated_margin
netsuite;vonderk;2026-06-08 15:37;324417;OV_ME-16028;2026-06-08;2026-06-08;3720;9728;4;3;2;2;0;2;145,124.00 ;72562;56,560.40 ;88,563.60 
netsuite;vonderk;2026-06-08 15:37;324417;OV_ME-16028;2026-06-08;2026-06-08;3720;9877;4;3;2;2;0;2;75,131.60 ;37565.8;30,426.40 ;44,705.20 
netsuite;vonderk;2026-06-08 15:37;324697;OV_ME-16037;2026-06-08;2026-06-08;3720;11753;4;3;6.8;6.8;0;6.8;53,903.20 ;7927.8;15,519.80 ;38,383.40 
netsuite;vonderk;2026-06-08 15:37;324697;OV_ME-16037;2026-06-08;2026-06-08;3720;9287;4;3;2;2;0;2;21,374.40 ;10687.2;14,220.40 ;7,154.00 
netsuite;vonderk;2026-06-08 15:37;324709;OV_ME-16041;2026-06-08;2026-06-08;3671;9780;4;3;60;60;0;60;310,980.00 ;5183;203,378.00 ;107,602.00 
netsuite;vonderk;2026-06-08 15:37;324709;OV_ME-16041;2026-06-08;2026-06-08;3671;9283;4;3;10;10;0;10;233,746.00 ;23374.6;100,535.60 ;133,210.40 
netsuite;vonderk;2026-06-08 15:37;324740;OV_ME-16042;2026-06-08;2026-06-08;3720;6790;4;3;24;24;0;24;624,763.20 ;26031.8;251,981.40 ;372,781.80 
netsuite;vonderk;2026-06-08 15:37;324788;OV_ME-16047;2026-06-08;2026-06-08;3686;9578;4;3;5;5;0;5;378,505.00 ;75701;147,124.20 ;231,380.80 
netsuite;vonderk;2026-06-08 15:37;324923;OV_ME-16050;2026-06-08;2026-06-08;3720;11147;4;3;2;2;0;2;65,174.40 ;32587.2;22,016.80 ;43,157.60 
netsuite;vonderk;2026-06-08 15:37;324923;OV_ME-16050;2026-06-08;2026-06-08;3720;9927;4;3;1;1;0;1;7,927.80 ;7927.8;2,978.40 ;4,949.40 
netsuite;vonderk;2026-06-08 15:37;320393;OV_ME-15783;2026-06-03;2026-06-03;3720;10374;4;3;50;50;0;50;1,243,375.00 ;24867.5;450,007.50 ;793,367.50 
netsuite;vonderk;2026-06-08 15:37;320553;OV_ME-15788;2026-06-03;2026-06-03;3720;9940;4;3;1;1;0;1;34,713.00 ;34713;12,180.00 ;22,533.00 
netsuite;vonderk;2026-06-08 15:37;320553;OV_ME-15788;2026-06-03;2026-06-03;3720;12259;4;3;2;2;0;2;63,684.00 ;31842;21,431.00 ;42,253.00 
netsuite;vonderk;2026-06-08 15:37;320553;OV_ME-15788;2026-06-03;2026-06-03;3720;11147;4;3;2;2;0;2;64,728.00 ;32364;22,025.50 ;42,702.50 
netsuite;vonderk;2026-06-08 15:37;320553;OV_ME-15788;2026-06-03;2026-06-03;3720;9927;4;3;1;1;0;1;7,873.50 ;7873.5;2,972.50 ;4,901.00 
netsuite;vonderk;2026-06-08 15:37;310007;OV_ME-15158;2026-05-26;2026-05-26;3868;10263;4;3;24;24;0;24;447,837.60 ;18659.9;180,594.16 ;267,243.44 
netsuite;vonderk;2026-06-08 15:37;298624;ME-14329;2026-05-13;2026-05-13;3658;9497;4;3;10;10;0;10;83,597.50 ;8359.75;22,831.25 ;60,766.25 
netsuite;vonderk;2026-06-08 15:37;298624;ME-14329;2026-05-13;2026-05-13;3658;10021;4;3;5;5;0;5;34,703.50 ;6940.7;12,827.65 ;21,875.85 
netsuite;vonderk;2026-06-08 15:37;298624;ME-14329;2026-05-13;2026-05-13;3658;10061;4;3;6;6;0;6;161,434.50 ;26905.75;77,317.15 ;84,117.35 
netsuite;vonderk;2026-06-08 15:37;298624;ME-14329;2026-05-13;2026-05-13;3658;10190;4;3;1;1;0;1;16,227.75 ;16227.75;5,886.95 ;10,340.80 
netsuite;vonderk;2026-06-08 15:37;323507;OV_ME-15962;2026-06-08;2026-06-08;3702;9785;4;3;6;6;0;6;33,275.55 ;5545.925;14,477.03 ;18,798.52 
netsuite;vonderk;2026-06-08 15:37;323507;OV_ME-15962;2026-06-08;2026-06-08;3702;10030;4;3;4;4;0;4;197,636.60 ;49409.15;82,209.34 ;115,427.26 
netsuite;vonderk;2026-06-08 15:37;323507;OV_ME-15962;2026-06-08;2026-06-08;3702;9978;4;3;2;2;0;2;160,327.65 ;80163.825;62,632.94 ;97,694.71 
netsuite;vonderk;2026-06-08 15:37;323507;OV_ME-15962;2026-06-08;2026-06-08;3702;10215;4;3;5;5;0;5;26,505.20 ;5301.04;10,515.65 ;15,989.55 
netsuite;vonderk;2026-06-08 15:37;323507;OV_ME-15962;2026-06-08;2026-06-08;3702;12088;4;3;3;3;0;3;907,515.00 ;302505;388,185.94 ;519,329.06 
netsuite;vonderk;2026-06-08 15:37;323507;OV_ME-15962;2026-06-08;2026-06-08;3702;10602;4;3;1;1;0;1;206,711.75 ;206711.75;48,775.33 ;157,936.42 
netsuite;vonderk;2026-06-08 15:37;323510;OV_ME-15963;2026-06-08;2026-06-10;3737;6772;4;3;10;10;0;10;186,544.75 ;18654.475;75,511.01 ;111,033.74 
netsuite;vonderk;2026-06-08 15:37;323618;OV_ME-16004;2026-06-08;2026-06-08;3845;12216;4;3;2;2;0;2;106,020.80 ;53010.4;36,603.11 ;69,417.69 
netsuite;vonderk;2026-06-08 15:37;323618;OV_ME-16004;2026-06-08;2026-06-08;3845;12217;4;3;2;2;0;2;106,020.80 ;53010.4;36,603.11 ;69,417.69 
netsuite;vonderk;2026-06-08 15:37;323618;OV_ME-16004;2026-06-08;2026-06-08;3845;12218;4;3;4;4;0;4;403,340.00 ;100835;138,907.42 ;264,432.58 
netsuite;vonderk;2026-06-08 15:37;323618;OV_ME-16004;2026-06-08;2026-06-08;3845;12219;4;3;4;4;0;4;403,340.00 ;100835;138,907.42 ;264,432.58 
netsuite;vonderk;2026-06-08 15:37;323618;OV_ME-16004;2026-06-08;2026-06-08;3845;12215;4;3;1;1;0;1;276,576.00 ;276576;95,029.79 ;181,546.21 
netsuite;vonderk;2026-06-08 15:37;323618;OV_ME-16004;2026-06-08;2026-06-08;3845;12292;4;3;1;1;0;1;437,912.00 ;437912;166,680.26 ;271,231.74 
netsuite;vonderk;2026-06-08 15:37;323618;OV_ME-16004;2026-06-08;2026-06-08;3845;12322;4;3;1;1;0;1;288,100.00 ;288100;105,703.89 ;182,396.11 
netsuite;vonderk;2026-06-08 15:37;323721;OV_ME-16007;2026-06-08;2026-06-08;3857;9984;4;3;6;6;0;6;347,880.75 ;57980.125;161,912.20 ;185,968.55 
netsuite;vonderk;2026-06-08 15:37;323721;OV_ME-16007;2026-06-08;2026-06-08;3857;10077;4;3;6;6;0;6;468,882.75 ;78147.125;216,780.85 ;252,101.90 
netsuite;vonderk;2026-06-08 15:37;323722;OV_ME-16008;2026-06-08;2026-06-08;3860;12359;4;3;1;1;0;1;64,300.67 ;64300.6725;18,744.16 ;45,556.51 
netsuite;vonderk;2026-06-08 15:37;323722;OV_ME-16008;2026-06-08;2026-06-08;3860;8536;4;3;2;2;0;2;75,322.41 ;37661.205;28,426.00 ;46,896.41 
netsuite;vonderk;2026-06-08 15:37;323724;OV_ME-16010;2026-06-08;2026-06-08;3878;9284;4;3;1;1;0;1;8,831.80 ;8831.7975;3,832.40 ;4,999.40 
netsuite;vonderk;2026-06-08 15:37;323724;OV_ME-16010;2026-06-08;2026-06-08;3878;9812;4;3;1;1;0;1;3,184.06 ;3184.0575;1,152.60 ;2,031.46 
netsuite;vonderk;2026-06-08 15:37;323725;OV_ME-16011;2026-06-08;2026-06-08;13716;11809;4;3;5;5;0;5;28,815.00 ;5763;10,243.73 ;18,571.27 
netsuite;vonderk;2026-06-08 15:37;323725;OV_ME-16011;2026-06-08;2026-06-08;13716;8544;4;3;1;1;0;1;21,899.40 ;21899.4;8,903.84 ;12,995.56 
netsuite;vonderk;2026-06-08 15:37;323729;OV_ME-16013;2026-06-08;2026-06-08;3868;10191;4;3;8;8;0;8;94,858.98 ;11857.3725;31,509.20 ;63,349.78 
netsuite;vonderk;2026-06-08 15:37;323729;OV_ME-16013;2026-06-08;2026-06-08;3868;9680;4;3;6;6;0;6;308,608.65 ;51434.775;120,720.44 ;187,888.21 
netsuite;vonderk;2026-06-08 15:37;323729;OV_ME-16013;2026-06-08;2026-06-08;3868;9516;4;3;30;30;0;30;81,690.53 ;2723.0175;35,730.60 ;45,959.93 
netsuite;vonderk;2026-06-08 15:37;323729;OV_ME-16013;2026-06-08;2026-06-08;3868;9410;4;3;4;4;0;4;260,199.45 ;65049.8625;125,201.18 ;134,998.27 
netsuite;vonderk;2026-06-08 15:37;323744;OV_ME-16016;2026-06-08;2026-06-08;3828;8536;4;3;2;2;0;2;71,832.00 ;35916;28,426.20 ;39,814.20 
netsuite;vonderk;2026-06-08 15:37;323744;OV_ME-16016;2026-06-08;2026-06-08;3828;9578;4;3;2;2;0;2;142,496.00 ;71248;58,852.60 ;76,518.60 
netsuite;vonderk;2026-06-08 15:37;323744;OV_ME-16016;2026-06-08;2026-06-08;3828;9577;4;3;2;2;0;2;133,152.00 ;66576;56,195.40 ;70,299.00 
netsuite;vonderk;2026-06-08 15:37;323744;OV_ME-16016;2026-06-08;2026-06-08;3828;10095;4;3;1;1;0;1;195,640.00 ;195640;64,765.60 ;121,092.40 
netsuite;vonderk;2026-06-08 15:37;323753;OV_ME-16017;2026-06-08;2026-06-08;3816;9854;4;3;6;6;0;6;315,360.00 ;52560;114,799.80 ;200,560.20 
netsuite;vonderk;2026-06-08 15:37;323753;OV_ME-16017;2026-06-08;2026-06-08;3816;10210;4;3;6;6;0;6;112,128.00 ;18688;39,536.80 ;72,591.20 
netsuite;vonderk;2026-06-08 15:37;323753;OV_ME-16017;2026-06-08;2026-06-08;3816;11828;4;3;50;50;0;50;213,160.00 ;4263.2;88,505.20 ;124,654.80 
netsuite;vonderk;2026-06-08 15:37;323860;OV_ME-16019;2026-06-08;2026-06-10;3808;9696;4;3;5;5;0;5;1,045,579.00 ;209115.8;311,593.20 ;733,985.80 
