source_system;client_id;snapshot_ts;invoice_internal_id;customer_id;document_number;invoice_date;due_date;posting_period;document_type;document_status; currency_id;exchange_rate;subsidiary_id;payment_terms;amount_total;amount_tax;amount_net;amount_paid;open_balance;last_modified_ts
netsuite;vonderk;2026-06-08 15:42;323734;13725;MEX-9900021937;8/6/2026;15/6/2026;jun 2026;Factura de venta;Pagado por completo;1;1;11;PLAZO 7 DIAS;0.00 ;0.00 ;0;0.00 ;0.00 ;
netsuite;vonderk;2026-06-08 15:42;323739;3720;MEX-9900021938;8/6/2026;15/6/2026;jun 2026;Factura de venta;Pagado por completo;1;1;11;PLAZO 7 DIAS;0.00 ;0.00 ;0;0.00 ;0.00 ;
netsuite;vonderk;2026-06-08 15:42;323745;4043;MEX-9900021939;8/6/2026;15/6/2026;jun 2026;Factura de venta;Abierta;1;1;11;PLAZO 7 DIAS;814,811.40 ;0.00 ;814811.4;0.00 ;814,811.40 ;
netsuite;vonderk;2026-06-08 15:42;323751;13856;MEX-9900021940;8/6/2026;15/6/2026;jun 2026;Factura de venta;Pagado por completo;1;1;11;PLAZO 7 DIAS;0.00 ;0.00 ;0;0.00 ;0.00 ;
netsuite;vonderk;2026-06-08 15:42;323752;3878;MEX-9900021941;8/6/2026;15/6/2026;jun 2026;Factura de venta;Abierta;1;1;11;PLAZO 7 DIAS;419,428.80 ;0.00 ;419428.8;0.00 ;419,428.80 ;
netsuite;vonderk;2026-06-08 15:42;323893;13571;MEX-9900021942;8/6/2026;15/6/2026;jun 2026;Factura de venta;Abierta;1;1;11;PLAZO 7 DIAS;688,098.00 ;0.00 ;688098;0.00 ;688,098.00 ;
netsuite;vonderk;2026-06-08 15:42;323894;3777;MEX-9900021943;8/6/2026;15/6/2026;jun 2026;Factura de venta;Abierta;1;1;11;PLAZO 7 DIAS;1,919,067.80 ;0.00 ;1919067.8;0.00 ;1,919,067.80 ;
netsuite;vonderk;2026-06-08 15:42;323895;3720;MEX-9900021944;8/6/2026;15/6/2026;jun 2026;Factura de venta;Abierta;1;1;11;PLAZO 7 DIAS;276,415.23 ;0.00 ;276415.23;0.00 ;276,415.23 ;
netsuite;vonderk;2026-06-08 15:42;323897;4069;MEX-9900021945;8/6/2026;15/6/2026;jun 2026;Factura de venta;Abierta;1;1;11;PLAZO 7 DIAS;534,944.00 ;0.00 ;534944;0.00 ;534,944.00 ;
netsuite;vonderk;2026-06-08 15:42;323900;4002;MEX-9900021946;8/6/2026;15/6/2026;jun 2026;Factura de venta;Abierta;1;1;11;PLAZO 7 DIAS;639,261.00 ;0.00 ;639261;0.00 ;639,261.00 ;
