"source_system;client_id;snapshot_ts;invoice_internal_id;document_number;customer_id;invoice_date;due_date;document_type;document_status;payment_terms;currency;exchange_rate;subsidiary_id;amount_total;amount_paid;open_balance"
"netsuite;vonderk;2026-07-20 14:23;351127;2509180377-SP;;10/11/2026;10/12/2026;Factura;Abierta;PLAZO 30 DIAS;US Dollar;1510.00;3;26989740.00;.00;26989740.00"
"netsuite;vonderk;2026-07-20 14:23;362905;MEX-9900022520;4069;20/07/2026;27/07/2026;Factura de venta;Abierta;PLAZO 7 DIAS;Peso Argentino;1.00;11;84000.00;.00;84000.00"
"netsuite;vonderk;2026-07-20 14:23;362912;FC A-00006-06505722;;20/07/2026;19/08/2026;Factura;Abierta;PLAZO 30 DIAS;Peso Argentino;1.00;3;1104414.21;.00;1104414.21"
"netsuite;vonderk;2026-07-20 14:23;362913;MEX-9900022523;3898;20/07/2026;27/07/2026;Factura de venta;Abierta;PLAZO 7 DIAS;Peso Argentino;1.00;11;1521480.00;.00;1521480.00"
"netsuite;vonderk;2026-07-20 14:23;362919;MEX-9900022524;3979;20/07/2026;27/07/2026;Factura de venta;Abierta;PLAZO 7 DIAS;Peso Argentino;1.00;11;1745625.00;.00;1745625.00"
"netsuite;vonderk;2026-07-20 14:23;362922;MEX-9900022525;4069;20/07/2026;27/07/2026;Factura de venta;Abierta;PLAZO 7 DIAS;Peso Argentino;1.00;11;59580.00;.00;59580.00"
"netsuite;vonderk;2026-07-20 14:23;362924;MEX-9900022526;3964;20/07/2026;27/07/2026;Factura de venta;Abierta;PLAZO 7 DIAS;Peso Argentino;1.00;11;678600.00;.00;678600.00"
"netsuite;vonderk;2026-07-20 14:23;362927;MEX-9900022527;4069;20/07/2026;27/07/2026;Factura de venta;Abierta;PLAZO 7 DIAS;Peso Argentino;1.00;11;1043325.00;.00;1043325.00"
"netsuite;vonderk;2026-07-20 14:23;362928;MEX-9900022528;13600;20/07/2026;27/07/2026;Factura de venta;Abierta;PLAZO 7 DIAS;Peso Argentino;1.00;11;704730.00;.00;704730.00"
"netsuite;vonderk;2026-07-20 14:23;362930;MEX-9900022529;3811;20/07/2026;27/07/2026;Factura de venta;Abierta;PLAZO 7 DIAS;Peso Argentino;1.00;11;263220.00;.00;263220.00"
"netsuite;vonderk;2026-07-20 14:23;362931;MEX-9900022530;3640;20/07/2026;27/07/2026;Factura de venta;Abierta;PLAZO 7 DIAS;Peso Argentino;1.00;11;674625.00;.00;674625.00"
"netsuite;vonderk;2026-07-20 14:23;362934;MEX-9900022531;13716;20/07/2026;27/07/2026;Factura de venta;Abierta;PLAZO 7 DIAS;Peso Argentino;1.00;11;25020.00;.00;25020.00"
"netsuite;vonderk;2026-07-20 14:23;362938;FC A-00007-00048933;4075;20/07/2026;18/09/2026;Factura de venta;Abierta;PLAZO 60 DIAS;Peso Argentino;1.00;3;266805.00;.00;266805.00"
"netsuite;vonderk;2026-07-20 14:23;362940;FC A-00007-00048934;3674;20/07/2026;19/08/2026;Factura de venta;Abierta;PLAZO 30 DIAS;Peso Argentino;1.00;3;9392562.90;.00;9392562.90"
"netsuite;vonderk;2026-07-20 14:23;362941;FC A-00007-00048935;13609;20/07/2026;18/09/2026;Factura de venta;Abierta;PLAZO 60 DIAS;Peso Argentino;1.00;3;1802682.00;.00;1802682.00"
"netsuite;vonderk;2026-07-20 14:23;362943;FC A-00007-00048936;3813;20/07/2026;18/09/2026;Factura de venta;Abierta;PLAZO 60 DIAS;Peso Argentino;1.00;3;3460967.61;.00;3460967.61"
"netsuite;vonderk;2026-07-20 14:23;362944;FC A-00007-00048937;3813;20/07/2026;18/09/2026;Factura de venta;Abierta;PLAZO 60 DIAS;Peso Argentino;1.00;3;1244164.09;.00;1244164.09"
