"source_system;client_id;snapshot_ts;order_internal_id;document_number;transaction_date;expected_ship_date;customer_id;item_internal_id;location;subsidiary_id;quantity_ordered;quantity_committed;quantity_fulfilled;quantity_pending;line_net_amount;unit_price_net;estimated_unit_cost;estimated_margin"
"netsuite;vonderk;2026-07-20 14:22;362233;OV_ME-18382;2026-07-17;2026-07-17;3671;6759;4;3;16;16;0;16;332009.60;20750.60;120796.00;211213.60"
"netsuite;vonderk;2026-07-20 14:22;362443;OV_ME-18389;2026-07-17;2026-07-17;3671;11905;4;3;9;9;0;9;121095.00;13455.00;10719.15;110375.85"
"netsuite;vonderk;2026-07-20 14:22;362443;OV_ME-18389;2026-07-17;2026-07-17;3671;11918;4;3;22;22;0;22;49335.00;2242.50;20571.20;28763.80"
"netsuite;vonderk;2026-07-20 14:22;360793;OV_ME-18302;2026-07-16;2026-07-20;3652;9854;4;3;6;6;0;6;302737.50;50456.25;114801.05;187936.45"
"netsuite;vonderk;2026-07-20 14:22;359321;OV_ME-18222;2026-07-15;2026-07-15;14008;10280;4;3;100;100;0;100;5740800.00;57408.00;14398957.95;-8658157.95"
"netsuite;vonderk;2026-07-20 14:22;338353;OV_ME-16921;2026-06-23;2026-06-23;3658;10062;4;3;20;1;0;20;901320.00;45066.00;321367.20;579952.80"
"netsuite;vonderk;2026-07-20 14:22;320393;OV_ME-15783;2026-06-03;2026-06-03;3720;10374;4;3;50;41;0;50;1243375.00;24867.50;450007.50;793367.50"
"netsuite;vonderk;2026-07-20 14:22;310007;OV_ME-15158;2026-05-26;2026-05-26;3868;10263;4;3;24;24;0;24;447837.60;18659.90;180594.16;267243.44"
"netsuite;vonderk;2026-07-20 14:22;298632;ME-14334;2026-05-13;2026-05-13;3658;10062;4;3;6;6;0;6;256693.50;42782.25;110433.00;146260.50"
"netsuite;vonderk;2026-07-20 14:22;362694;OV_ME-18436;2026-07-20;2026-07-22;4047;9841;4;3;1;1;0;1;29570.00;29570.00;13838.76;15731.24"
"netsuite;vonderk;2026-07-20 14:22;362700;OV_ME-18437;2026-07-20;2026-07-22;13998;10416;4;3;4;4;0;4;88710.00;22177.50;27914.08;60795.92"
"netsuite;vonderk;2026-07-20 14:22;362700;OV_ME-18437;2026-07-20;2026-07-22;13998;10418;4;3;4;4;0;4;88710.00;22177.50;32260.87;56449.13"
"netsuite;vonderk;2026-07-20 14:22;362700;OV_ME-18437;2026-07-20;2026-07-22;13998;9228;4;3;10;10;0;10;59140.00;5914.00;42876.50;16263.50"
"netsuite;vonderk;2026-07-20 14:22;362700;OV_ME-18437;2026-07-20;2026-07-22;13998;9229;4;3;2;2;0;2;16263.50;8131.75;12715.10;3548.40"
"netsuite;vonderk;2026-07-20 14:22;362700;OV_ME-18437;2026-07-20;2026-07-22;13998;9230;4;3;2;2;0;2;17268.88;8634.44;13173.44;4095.44"
"netsuite;vonderk;2026-07-20 14:22;362737;OV_ME-18441;2026-07-20;2026-07-20;3851;10151;4;3;4;4;0;4;447098.40;111774.60;184575.94;262522.46"
"netsuite;vonderk;2026-07-20 14:22;362737;OV_ME-18441;2026-07-20;2026-07-20;3851;9492;4;3;7;7;0;7;1304037.00;186291.00;478043.41;825993.59"
"netsuite;vonderk;2026-07-20 14:22;362737;OV_ME-18441;2026-07-20;2026-07-20;3851;9977;4;3;3;3;0;3;235968.60;78656.20;46868.45;189100.15"
"netsuite;vonderk;2026-07-20 14:22;362737;OV_ME-18441;2026-07-20;2026-07-20;3851;10063;4;3;22;22;0;22;990447.15;45020.325;480778.63;509668.52"
"netsuite;vonderk;2026-07-20 14:22;362737;OV_ME-18441;2026-07-20;2026-07-20;3851;10012;4;3;6;6;0;6;319799.55;53299.925;122109.32;197690.23"
"netsuite;vonderk;2026-07-20 14:22;362737;OV_ME-18441;2026-07-20;2026-07-20;3851;10019;4;3;6;6;0;6;248388.00;41398.00;90824.26;157563.74"
