"source_system;client_id;snapshot_ts;invoice_internal_id;customer_id;document_number;invoice_date;due_date;posting_period;document_type;document_status; currency_id;exchange_rate;subsidiary_id;payment_terms;amount_total;amount_tax;amount_net;amount_paid;open_balance;last_modified_ts"
"netsuite;vonderk;2026-07-20 14:19;362903;3746;MEX-9900022519;20/07/2026;27/07/2026;jul 2026;Factura de venta;Pagado por completo;1;1.00;11;PLAZO 7 DIAS;.00;;0;.00;.00; "
"netsuite;vonderk;2026-07-20 14:19;362905;4069;MEX-9900022520;20/07/2026;27/07/2026;jul 2026;Factura de venta;Abierta;1;1.00;11;PLAZO 7 DIAS;84000.00;;84000;.00;84000.00; "
"netsuite;vonderk;2026-07-20 14:19;362909;13827;MEX-9900022521;20/07/2026;27/07/2026;jul 2026;Factura de venta;Pagado por completo;1;1.00;11;PLAZO 7 DIAS;.00;;0;.00;.00; "
"netsuite;vonderk;2026-07-20 14:19;362910;13725;MEX-9900022522;20/07/2026;27/07/2026;jul 2026;Factura de venta;Pagado por completo;1;1.00;11;PLAZO 7 DIAS;.00;;0;.00;.00; "
"netsuite;vonderk;2026-07-20 14:19;362913;3898;MEX-9900022523;20/07/2026;27/07/2026;jul 2026;Factura de venta;Abierta;1;1.00;11;PLAZO 7 DIAS;1521480.00;;1521480;.00;1521480.00; "
"netsuite;vonderk;2026-07-20 14:19;362919;3979;MEX-9900022524;20/07/2026;27/07/2026;jul 2026;Factura de venta;Abierta;1;1.00;11;PLAZO 7 DIAS;1745625.00;;1745625;.00;1745625.00; "
"netsuite;vonderk;2026-07-20 14:19;362922;4069;MEX-9900022525;20/07/2026;27/07/2026;jul 2026;Factura de venta;Abierta;1;1.00;11;PLAZO 7 DIAS;59580.00;;59580;.00;59580.00; "
"netsuite;vonderk;2026-07-20 14:19;362924;3964;MEX-9900022526;20/07/2026;27/07/2026;jul 2026;Factura de venta;Abierta;1;1.00;11;PLAZO 7 DIAS;678600.00;;678600;.00;678600.00; "
"netsuite;vonderk;2026-07-20 14:19;362927;4069;MEX-9900022527;20/07/2026;27/07/2026;jul 2026;Factura de venta;Abierta;1;1.00;11;PLAZO 7 DIAS;1043325.00;;1043325;.00;1043325.00; "
"netsuite;vonderk;2026-07-20 14:19;362928;13600;MEX-9900022528;20/07/2026;27/07/2026;jul 2026;Factura de venta;Abierta;1;1.00;11;PLAZO 7 DIAS;704730.00;;704730;.00;704730.00; "
"netsuite;vonderk;2026-07-20 14:19;362930;3811;MEX-9900022529;20/07/2026;27/07/2026;jul 2026;Factura de venta;Abierta;1;1.00;11;PLAZO 7 DIAS;263220.00;;263220;.00;263220.00; "
"netsuite;vonderk;2026-07-20 14:19;362931;3640;MEX-9900022530;20/07/2026;27/07/2026;jul 2026;Factura de venta;Abierta;1;1.00;11;PLAZO 7 DIAS;674625.00;;674625;.00;674625.00; "
"netsuite;vonderk;2026-07-20 14:19;362934;13716;MEX-9900022531;20/07/2026;27/07/2026;jul 2026;Factura de venta;Abierta;1;1.00;11;PLAZO 7 DIAS;25020.00;;25020;.00;25020.00; "
"netsuite;vonderk;2026-07-20 14:19;362938;4075;FC A-00007-00048933;20/07/2026;18/09/2026;jul 2026;Factura de venta;Abierta;1;1.00;3;PLAZO 60 DIAS;266805.00;46305.00;220500;.00;266805.00; "
