source_system,client_id,snapshot_ts,po_internal_id,po_number,vendor_id,inbound_shipment_number,inbound_shipment_status,item_internal_id,quantity_inbound,expected_shipping_date,actual_shipping_date,expected_delivery_date,actual_delivery_date,available_for_sale_date,location_id
netsuite,vonderk,2026-07-22 09:54,364944,OC_ME-257,8444,INBSHIP254,Para enviar,9019,245,,,,,,
netsuite,vonderk,2026-07-22 09:54,364944,OC_ME-257,8444,INBSHIP254,Para enviar,8830,160,,,,,,
netsuite,vonderk,2026-07-22 09:54,364944,OC_ME-257,8444,INBSHIP254,Para enviar,8836,96,,,,,,
netsuite,vonderk,2026-07-22 09:54,364944,OC_ME-257,8444,INBSHIP254,Para enviar,8831,300,,,,,,
netsuite,vonderk,2026-07-22 09:54,364944,OC_ME-257,8444,INBSHIP254,Para enviar,8829,160,,,,,,
netsuite,vonderk,2026-07-22 09:54,364944,OC_ME-257,8444,INBSHIP254,Para enviar,8833,160,,,,,,
netsuite,vonderk,2026-07-22 09:54,364944,OC_ME-257,8444,INBSHIP254,Para enviar,10394,120,,,,,,
netsuite,vonderk,2026-07-22 09:54,364944,OC_ME-257,8444,INBSHIP254,Para enviar,8808,192,,,,,,
netsuite,vonderk,2026-07-22 09:54,364939,OC_ME-256,8444,INBSHIP253,Para enviar,12636,100,,,,,,
netsuite,vonderk,2026-07-22 09:54,364939,OC_ME-256,8444,INBSHIP253,Para enviar,12641,10,,,,,,
netsuite,vonderk,2026-07-22 09:54,364939,OC_ME-256,8444,INBSHIP253,Para enviar,12640,10,,,,,,
netsuite,vonderk,2026-07-22 09:54,364939,OC_ME-256,8444,INBSHIP253,Para enviar,12639,10,,,,,,
netsuite,vonderk,2026-07-22 09:54,364939,OC_ME-256,8444,INBSHIP253,Para enviar,12638,10,,,,,,
netsuite,vonderk,2026-07-22 09:54,364911,OC_ME-255,8444,INBSHIP252,Para enviar,12630,306,,,,,,
netsuite,vonderk,2026-07-22 09:54,364911,OC_ME-255,8444,INBSHIP252,Para enviar,12198,200,,,,,,
netsuite,vonderk,2026-07-22 09:54,364911,OC_ME-255,8444,INBSHIP252,Para enviar,12200,200,,,,,,
netsuite,vonderk,2026-07-22 09:54,364911,OC_ME-255,8444,INBSHIP252,Para enviar,10413,360,,,,,,
netsuite,vonderk,2026-07-22 09:54,364911,OC_ME-255,8444,INBSHIP252,Para enviar,10412,600,,,,,,
netsuite,vonderk,2026-07-22 09:54,364911,OC_ME-255,8444,INBSHIP252,Para enviar,10144,152,,,,,,
netsuite,vonderk,2026-07-22 09:54,364911,OC_ME-255,8444,INBSHIP252,Para enviar,12206,150,,,,,,
netsuite,vonderk,2026-07-22 09:54,364911,OC_ME-255,8444,INBSHIP252,Para enviar,12209,200,,,,,,
netsuite,vonderk,2026-07-22 09:54,364911,OC_ME-255,8444,INBSHIP252,Para enviar,12631,204,,,,,,
netsuite,vonderk,2026-07-22 09:54,364655,OC_ME-254,9866,INBSHIP251,Para enviar,9537,500,,,,,,
netsuite,vonderk,2026-07-22 09:54,364655,OC_ME-254,9866,INBSHIP251,Para enviar,10276,100,,,,,,
